id_documento,titulo,fuente,seccion,tipo_archivo,ruta_local,url_origen,num_caracteres,estado_extraccion,texto_embedding_muestra,modelo_embedding,dimension_embedding,embedding_preview
doc_0403,Sostenibilidad: decidir hoy para no limitar el crecimiento mañana,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/22980_sostenibilidad_decidir_hoy_para_no_limitar_el_crecimiento_manana.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=22980,134063,OK,Sostenibilidad: decidir hoy para no limitar el crecimiento mañana | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=22980 | Sostenibilidad: decidir hoy para no limitar el crecimiento mañana CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=22980 CEEI Valencia 14/04/2026 Sostenibilidad:decidir hoy parano limitar elcrecimientomañana. ‹#› Hablemos de SOSTENIBILIDAD ‹#› Indíce: Hablemos de Sostenibilidad Estrategia ESG Materialidad- d,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.004, 0.0445, 0.0438, 0.0845, 0.1305, 0.0321, -0.0302, 0.0461]"
doc_0409,Obrador de alimentos veganos o Plant-Based,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/23016_obrador_de_alimentos_veganos_o_plant_based.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=23016,112940,OK,"Obrador de alimentos veganos o Plant-Based | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=23016 | Obrador de alimentos veganos o Plant-Based CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=23016 OBRADOR DE ALIMENTOS VEGANOS O PLANT-BASED El segmento de mercado que analizaremos con el modelo Canvas es el de Empresas y, dentro de este, el obrador estará especializado en empresas especializadas en alimentación saludable (tiendas",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0102, -0.0531, 0.0244, 0.0544, 0.0335, -0.001, -0.048, -0.0361]"
doc_0406,Servicio móvil de maquillaje y peluquería para eventos,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/22996_servicio_movil_de_maquillaje_y_peluqueria_para_eventos.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=22996,95075,OK,"Servicio móvil de maquillaje y peluquería para eventos | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=22996 | Servicio móvil de maquillaje y peluquería para eventos CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=22996 SERVICIO MÓVIL DE MAQUILLAJE Y PELUQUERÍA PARA EVENTOS El segmento de mercado que analizaremos con el modelo Canvas es el de Particulares. En todo caso, cabe destacar que una misma empresa podría prestar servic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0308, -0.0142, 0.0415, 0.0157, 0.0102, 0.0255, 0.0173, 0.0466]"
doc_0411,Centro especializado en vehículos eléctricos,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/23019_centro_especializado_en_vehiculos_electricos.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=23019,94750,OK,"Centro especializado en vehículos eléctricos | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=23019 | Centro especializado en vehículos eléctricos CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=23019 CENTRO ESPECIALIZADO EN VEHÍCULOS ELÉCTRICOS El segmento de mercado que analizaremos con el modelo Canvas es el de Particulares, es decir, dirigido a personas de distintos perfiles, pero que reúnen una serie de características com",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0188, 0.0045, 0.0137, 0.014, 0.0069, 0.03, -0.0224, 0.0954]"
doc_0407,Taller de arreglos y confección personalizada sostenible,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/22997_taller_de_arreglos_y_confeccion_personalizada_sostenible.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=22997,88585,OK,"Taller de arreglos y confección personalizada sostenible | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=22997 | Taller de arreglos y confección personalizada sostenible CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=22997 TALLER DE ARREGLOS Y CONFECCIÓN PERSONALIZADA SOSTENIBLE El segmento de mercado que analizaremos con el modelo Canvas es el de Particulares y, dentro de este, el taller estará especializado en arreglos y co",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0406, -0.0244, 0.0494, 0.0654, 0.0471, -0.0275, -0.0088, 0.0583]"
doc_0410,Taller de impresión 3D y prototipado rápido a partir de residuos vegetales,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/23017_taller_de_impresion_3d_y_prototipado_rapido_a_partir_de_residuos_vegetales.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=23017,83167,OK,"Taller de impresión 3D y prototipado rápido a partir de residuos vegetales | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=23017 | Taller de impresión 3D y prototipado rápido a partir de residuos vegetales CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=23017 TALLER DE IMPRESIÓN 3D Y PROTOTIPADO RÁPIDO A PARTIR DE RESIDUOS VEGETALES El segmento de mercado que analizaremos con el modelo Canvas es el de Empresas. En este caso, e",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0507, 0.0012, 0.0427, 0.0032, 0.0429, -0.054, -0.0932, -0.0223]"
doc_0397,Manual ScaleUp y softlanding ScaleUp y softlanding internacional,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/20565_manual_scaleup_y_softlanding_scaleup_y_softlanding_internacional.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=20565,57620,OK,"Manual ScaleUp y softlanding ScaleUp y softlanding internacional | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=20565 | Manual ScaleUp y softlanding ScaleUp y softlanding internacional CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=20565 Estrategia SCALE UP & SOFTLANDING Manual elaborado por el equipo de Startups.st: Aroa Picos León, Samuel Soto Devesa, Pablo Adrián Figueiras Barros, Juan Carlos Bugallo Taibo, Roberto Touza ",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0546, -0.0375, 0.1098, 0.023, 0.0834, 0.0119, -0.064, 0.059]"
doc_0398,Manual Inteligencia artificial aplicada a startups,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/20566_manual_inteligencia_artificial_aplicada_a_startups.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=20566,50507,OK,"Manual Inteligencia artificial aplicada a startups | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=20566 | Manual Inteligencia artificial aplicada a startups CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=20566 Tecnología INTELIGENCIA ARTIFICIAL APLICADA A STARTUPS Manual elaborado por el equipo de Startups.st: Aroa Picos León, Samuel Soto Devesa, Pablo Adrián Figueiras Barros, Juan Carlos Bugallo Taibo, Roberto Touza David. ",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.1312, -0.0864, 0.0035, -0.0083, -0.0086, 0.0142, -0.0087, 0.0668]"
doc_0415,Creación de una spin-off,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/23035_creacion_de_una_spin_off.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=23035,27032,OK,Creación de una spin-off | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=23035 | Creación de una spin-off CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=23035 ¿qué veremos hoy? 1. Sobre mí 2. Innovar en una corporación. El contexto 3. Emprendimiento Corporativo e Innovación Abierta 4. Las corporaciones en el ecosistema emprendedor 5. Consejos y Recomendaciones sobre Innovación Abierta y Emprendimiento Corporativo 6. Caso conc,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0968, -0.1052, 0.0582, -0.0143, 0.0114, 0.0065, -0.0388, 0.0526]"
doc_0401,Manual Diagrama integral de startups,CEEI Valencia,Documento_PDF,pdf,documentos_ceei_valencia/22691_manual_diagrama_integral_de_startups.pdf,https://ceeivalencia.emprenemjunts.es/?op=13&n=22691,20900,OK,"Manual Diagrama integral de startups | CEEI Valencia | Documento_PDF | pdf | https://ceeivalencia.emprenemjunts.es/?op=13&n=22691 | Manual Diagrama integral de startups CEEI Valencia Documento_PDF pdf https://ceeivalencia.emprenemjunts.es/?op=13&n=22691 Estrategia DIAGRAMA INTEGRAL DE STARTUPS Manual elaborado por Startups.st. Edición y dirección: Centro Europeo de Empresas Innovadoras de la Comunitat Valenciana (CEEI CV) Derechos reservados: Queda rigurosamente prohibido, según autorización esc",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0734, -0.1103, 0.0385, 0.0482, 0.0217, 0.0186, -0.0403, 0.0645]"
